url,name,country,language,topic_hint,status,resolved_url,notes
https://rsshub.app/apnews/topics/business,Associated Press - Business,United States,en,Major US News,dead,https://rsshub.app/apnews/topics/business,"Client error '403 Forbidden' for url 'https://rsshub.app/apnews/topics/business'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://feeds.bloomberg.com/economics/news.rss,Bloomberg - Economics,United States,en,Major US News,redirected,https://www.bloomberg.com/feeds/economics/news.rss,
https://www.axios.com/feeds/feed.rss,Axios - Economy,United States,en,Major US News,redirected,https://api.axios.com/feed/,
https://feeds.npr.org/1017/rss.xml,NPR - Economy,United States,en,Major US News,ok,https://feeds.npr.org/1017/rss.xml,
https://www.vox.com/rss/money,Vox - Economics,United States,en,Major US News,discovered,https://www.vox.com/rss/index.xml,found via homepage <link rel=alternate>
https://slate.com/feeds/business.rss,Slate - Business,United States,en,Major US News,ok,https://slate.com/feeds/business.rss,
https://www.federalreserve.gov/feeds/press_all.xml,Federal Reserve - Press Releases,United States,en,US Federal Reserve,ok,https://www.federalreserve.gov/feeds/press_all.xml,
https://www.federalreserve.gov/feeds/feds.xml,Federal Reserve - Research,United States,en,US Federal Reserve,ok,https://www.federalreserve.gov/feeds/feds.xml,
https://libertystreeteconomics.newyorkfed.org/feed/,NY Fed - Liberty Street Economics Blog,United States,en,US Federal Reserve,ok,https://libertystreeteconomics.newyorkfed.org/feed/,
https://www.chicagofed.org/utilities/rss/chicago-fed-research.ashx,Chicago Fed - Research,United States,en,US Federal Reserve,dead,https://www.chicagofed.org/utilities/rss/chicago-fed-research.ashx,"Client error '404 Not Found' for url 'https://www.chicagofed.org/utilities/rss/chicago-fed-research.ashx'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.frbsf.org/rss/,San Francisco Fed - Research,United States,en,US Federal Reserve,redirected,https://www.frbsf.org/feed/,
https://www.atlantafed.org/rss,Atlanta Fed - Macroblog,United States,en,US Federal Reserve,dead,https://www.atlantafed.org/rss,no entries found and no feed link discovered
https://www.minneapolisfed.org/rss/publications-research.xml,Minneapolis Fed - Research,United States,en,US Federal Reserve,dead,https://www.minneapolisfed.org/rss/publications-research.xml,"Client error '404 Not Found' for url 'https://www.minneapolisfed.org/rss/publications-research.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.dallasfed.org/rss/releases.xml,Dallas Fed - Research,United States,en,US Federal Reserve,ok,https://www.dallasfed.org/rss/releases.xml,
https://www.kansascityfed.org/rss/research/,Kansas City Fed,United States,en,US Federal Reserve,dead,https://www.kansascityfed.org/rss/research/,"Client error '404 Not Found' for url 'https://www.kansascityfed.org/rss/research/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.bls.gov/feed/bls_latest.rss,Bureau of Labor Statistics,United States,en,US Government,ok,https://www.bls.gov/feed/bls_latest.rss,
https://apps.bea.gov/rss/rss.xml,Bureau of Economic Analysis,United States,en,US Government,ok,https://apps.bea.gov/rss/rss.xml,
https://www.cbo.gov/about/feed/reports,Congressional Budget Office,United States,en,US Government,dead,https://www.cbo.gov/about/feed/reports,"Client error '403 Forbidden' for url 'https://www.cbo.gov/about/feed/reports'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.census.gov/economic-indicators/rss.xml,US Census Bureau - Economic News,United States,en,US Government,dead,https://www.census.gov/economic-indicators/rss.xml,no entries found and no feed link discovered
https://www.brookings.edu/feed/,Brookings Institution,United States,en,US Think Tanks,dead,https://www.brookings.edu/feed/,no entries found and no feed link discovered
https://www.piie.com/rss.xml,Peterson Institute for International Economics,United States,en,US Think Tanks,dead,https://www.piie.com/rss.xml,"Client error '404 Not Found' for url 'https://www.piie.com/rss.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.epi.org/feed/,Economic Policy Institute,United States,en,US Think Tanks,ok,https://www.epi.org/feed/,
https://www.urban.org/rss.xml,Urban Institute,United States,en,US Think Tanks,dead,https://www.urban.org/rss.xml,"Client error '403 Forbidden' for url 'https://www.urban.org/rss.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.cato.org/rss/recent-op-eds,Cato Institute,United States,en,US Think Tanks,dead,https://www.cato.org/rss/recent-op-eds,"Client error '403 Forbidden' for url 'https://www.cato.org/rss/recent-op-eds'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://rooseveltinstitute.org/feed/,Roosevelt Institute,United States,en,US Think Tanks,ok,https://rooseveltinstitute.org/feed/,
https://www.niskanencenter.org/feed/,Niskanen Center,United States,en,US Think Tanks,ok,https://www.niskanencenter.org/feed/,
https://www.hamiltonproject.org/feed/,Hamilton Project,United States,en,US Think Tanks,ok,https://www.hamiltonproject.org/feed/,
https://milkeninstitute.org/rss.xml,Milken Institute,United States,en,US Think Tanks,ok,https://milkeninstitute.org/rss.xml,
https://www.aei.org/feed/,American Enterprise Institute,United States,en,US Think Tanks,ok,https://www.aei.org/feed/,
https://www.cbpp.org/rss.xml,Center on Budget and Policy Priorities,United States,en,US Think Tanks,dead,https://www.cbpp.org/rss.xml,"Client error '403 Forbidden' for url 'https://www.cbpp.org/rss.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://feeds.pewresearch.org/pewresearch/rss,Pew Research Center - Economics,United States,en,US Think Tanks,dead,https://feeds.pewresearch.org/pewresearch/rss,[Errno 11001] getaddrinfo failed
https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/business/,Globe and Mail - Business,Canada,en,news,ok,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/business/,
https://financialpost.com/feed/,Financial Post,Canada,en,news,redirected,https://financialpost.com/feed,
https://www.cbc.ca/cmlink/rss-business,CBC News - Business,Canada,en,news,dead,https://www.cbc.ca/cmlink/rss-business,no entries found and no feed link discovered
https://www.bankofcanada.ca/feed/,Bank of Canada,Canada,en,news,ok,https://www.bankofcanada.ca/feed/,
https://cdhowe.org/feed/,C.D. Howe Institute,Canada,en,news,redirected,https://cdhowe.org/publication/feed/,
https://www.fraserinstitute.org/rss,Fraser Institute,Canada,en,news,dead,https://www.fraserinstitute.org/rss,"Client error '403 Forbidden' for url 'https://www.fraserinstitute.org/rss'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.as-coa.org/rss.xml,Americas Society / Council of the Americas,Latin America,en,news,dead,https://www.as-coa.org/rss.xml,"Client error '403 Forbidden' for url 'https://www.as-coa.org/rss.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.cepal.org/en/rss/novedades.xml,ECLAC (UN Economic Commission for Latin America),Latin America,en,news,dead,https://www.cepal.org/en/rss/novedades.xml,"Client error '404 Not Found' for url 'https://www.cepal.org/en/rss/novedades.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://blogs.iadb.org/feed/,Inter-American Development Bank,Latin America,en,news,dead,https://blogs.iadb.org/feed/,"Client error '403 Forbidden' for url 'https://www.iadb.org/en/idb-blog'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.elfinanciero.com.mx/rss,El Financiero Mexico,Latin America,es,news,redirected,https://www.elfinanciero.com.mx/arc/outboundfeeds/rss/?outputType=xml,
https://feeds.folha.uol.com.br/mercado/rss091.xml,Folha de S.Paulo - Economy,Latin America,pt,news,ok,https://feeds.folha.uol.com.br/mercado/rss091.xml,
https://batimes.com.ar/feed/,Buenos Aires Times,Latin America,en,news,dead,https://batimes.com.ar/feed/,no entries found and no feed link discovered
https://colombiareports.com/feed/,Colombia Reports,Latin America,en,news,ok,https://colombiareports.com/feed/,
https://en.mercopress.com/rss,Merco Press (Southern Cone),Latin America,en,news,ok,https://en.mercopress.com/rss,
https://latintrade.com/feed/,Latin Trade,Latin America,en,news,dead,https://latintrade.com/feed/,"Client error '403 Forbidden' for url 'https://latintrade.com/feed/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://riotimesonline.com/feed/,Rio Times,Latin America,en,news,redirected,https://www.riotimesonline.com/feed/,
https://businessday.ng/feed/,Business Day South Africa,Africa,en,news,ok,https://businessday.ng/feed/,
https://businessday.ng/feed/,Financial Mail South Africa,Africa,en,news,ok,https://businessday.ng/feed/,
https://www.theeastafrican.co.ke/rss/,The East African,Africa,en,news,discovered,https://www.theeastafrican.co.ke/rss.xml,found via homepage <link rel=alternate>
https://mg.co.za/the-continent/feed/,The Continent,Africa,en,news,discovered,https://mg.co.za/atom/,found via homepage <link rel=alternate>
https://www.thisdaylive.com/index.php/feed/,This Day Nigeria,Africa,en,news,redirected,https://www.thisdaylive.com/feed/,
https://www.monitor.co.ug/uganda/rss/,Daily Monitor Uganda,Africa,en,news,dead,https://www.monitor.co.ug/uganda/rss/,"Client error '403 Forbidden' for url 'https://www.monitor.co.ug/uganda/rss/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://african.business/feed,African Business Magazine,Africa,en,news,ok,https://african.business/feed,
https://qz.com/africa/rss,Quartz Africa,Africa,en,news,dead,https://qz.com/africa/rss,"Client error '403 Forbidden' for url 'https://qz.com/africa/rss'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.howwemadeitinafrica.com/feed/,How We Made It In Africa,Africa,en,news,ok,https://www.howwemadeitinafrica.com/feed/,
https://www.afdb.org/en/rss/news,African Development Bank,Africa,en,news,dead,https://www.afdb.org/en/rss/news,"Client error '403 Forbidden' for url 'https://www.afdb.org/en/rss/news'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://venturesafrica.com/feed/,Ventures Africa,Africa,en,news,dead,https://venturesafrica.com/feed/,"Server error '526 <none>' for url 'https://venturesafrica.com/feed/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/526"
https://www.theafricareport.com/feed/,The Africa Report,Africa,en,news,ok,https://www.theafricareport.com/feed/,
https://www.dailymaverick.co.za/rss/,Daily Maverick - Economy,Africa,en,news,redirected,https://www.dailymaverick.co.za/dmrss/,
https://www.arabnews.com/rss.xml/business-economy,Arab News - Business,Middle East,en,news,ok,https://www.arabnews.com/rss.xml/business-economy,
https://www.thenationalnews.com/rss/business.xml,The National UAE - Business,Middle East,en,news,dead,https://www.thenationalnews.com/rss/business.xml,"Client error '404 Not Found' for url 'https://www.thenationalnews.com/rss/business.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://gulfnews.com/rss/business,Gulf News - Business,Middle East,en,news,dead,https://gulfnews.com/rss/business,"Client error '404 Not Found' for url 'https://gulfnews.com/rss/business'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.middleeasteye.net/rss,Middle East Eye - Economy,Middle East,en,news,ok,https://www.middleeasteye.net/rss,
https://www.al-monitor.com/rss/economy,Al-Monitor - Economy,Middle East,en,news,dead,https://www.al-monitor.com/rss/economy,"Client error '403 Forbidden' for url 'https://www.al-monitor.com/rss/economy'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.jpost.com/Rss/RssFeedsBusinessAndTech.aspx,Jerusalem Post - Business,Middle East,en,news,dead,https://www.jpost.com/Rss/RssFeedsBusinessAndTech.aspx,"Client error '404 Not Found' for url 'https://www.jpost.com/rss/rssfeedsbusinessandtech.aspx'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.imf.org/en/news/rss,IMF MENA,Middle East,en,news,dead,https://www.imf.org/en/news/rss,"Client error '403 Forbidden' for url 'https://www.imf.org/en/news/rss'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.caixinglobal.com/rss/,Caixin Global,China/Greater China,en,news,dead,https://www.caixinglobal.com/rss/,"Client error '403 Forbidden' for url 'https://www.caixinglobal.com/rss/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://asia.nikkei.com/rss/feed/nar,Nikkei Asia - China,China/Greater China,en,news,ok,https://asia.nikkei.com/rss/feed/nar,
https://www.scmp.com/rss/91/feed,South China Morning Post - Business,China/Greater China,en,news,redirected,https://www.scmp.com/rss/91/feed/,
